,batsman,batsman_runs,ball,strike_rate,batting_average,cluster_number_ward
22,AB de Villiers,3486,2402,145.12905911740216,42.0,2
24,AC Gilchrist,2069,1555,133.05466237942122,27.586666666666666,2
38,AM Rahane,3057,2602,117.48654880860876,35.54651162790697,2
49,AT Rayudu,2416,1964,123.0142566191446,28.423529411764704,2
66,BB McCullum,2755,2181,126.31820265933058,28.697916666666668,2
85,CH Gayle,3651,2532,144.19431279620852,41.02247191011236,2
103,DA Warner,4014,2902,138.3184011026878,40.95918367346939,2
125,DR Smith,2385,1803,132.27953410981698,29.8125,2
137,G Gambhir,4132,3433,120.36120011651616,33.32258064516129,2
176,JH Kallis,2427,2291,105.93627237014405,29.240963855421686,2
182,JP Duminy,1993,1634,121.97062423500613,42.40425531914894,2
190,KA Pollard,2354,1674,140.62126642771804,29.061728395061728,2
195,KD Karthik,2903,2360,123.00847457627117,25.919642857142858,2
232,M Vijay,2511,2092,120.02868068833652,28.862068965517242,2
242,MEK Hussey,1977,1648,119.96359223300972,40.3469387755102,2
249,MK Pandey,2223,1901,116.93845344555498,29.25,2
259,MS Dhoni,3560,2680,132.8358208955224,38.69565217391305,2
289,PA Patel,2322,2060,112.71844660194175,22.764705882352942,2
308,R Dravid,2174,1918,113.34723670490095,28.986666666666668,2
323,RG Sharma,4207,3274,128.49725106902872,32.8671875,2
340,RV Uthappa,3778,2960,127.63513513513513,30.467741935483872,2
347,S Dhawan,3561,3005,118.50249584026622,34.57281553398058,2
372,SE Marsh,2489,1913,130.10977522216413,40.145161290322584,2
374,SK Raina,4548,3369,134.99554764024933,35.811023622047244,2
389,SR Tendulkar,2334,2044,114.18786692759295,34.83582089552239,2
390,SR Watson,2628,1949,134.83837865572087,31.285714285714285,2
431,V Kohli,4423,3494,126.58843732112193,37.8034188034188,2
433,V Sehwag,2728,1833,148.82705946535734,28.71578947368421,2
454,YK Pathan,2922,2076,140.75144508670522,31.419354838709676,2
459,Yuvraj Singh,2591,2050,126.39024390243902,26.43877551020408,2
